"","x"
"1",-9999
"2",101
"3",9999
"4",41
"5",9999
"6",9999
"7",101
"8",101
"9",9999
"10",9999
"11",9999
"12",101
"13",41
"14",9999
"15",41
"16",9999
"17",9999
"18",101
"19",101
"20",41
"21",101
"22",41
"23",101
"24",101
"25",9999
"26",101
"27",101
"28",101
"29",9999
"30",101
"31",9999
"32",101
"33",9999
"34",101
"35",41
"36",101
"37",101
"38",9999
"39",101
"40",41
"41",101
"42",9999
"43",41
"44",9999
"45",101
"46",101
"47",9999
"48",41
"49",101
"50",41
"51",101
"52",101
"53",9999
"54",41
"55",101
"56",101
"57",9999
"58",41
"59",9999
"60",101
"61",9999
"62",9999
"63",101
"64",101
"65",101
"66",9999
"67",101
"68",9999
"69",101
"70",9999
"71",9999
"72",101
"73",9999
"74",101
"75",101
"76",9999
"77",9999
"78",41
"79",101
"80",9999
"81",9999
"82",9999
"83",41
"84",9999
"85",101
"86",101
"87",101
"88",9999
"89",101
"90",9999
"91",9999
"92",9999
"93",9999
"94",9999
"95",101
"96",101
"97",101
"98",101
"99",101
"100",9999
"101",41
"102",9999
"103",9999
"104",101
"105",41
"106",9999
"107",101
"108",9999
"109",9999
"110",9999
"111",9999
"112",9999
"113",9999
"114",101
"115",101
"116",41
"117",9999
"118",101
"119",9999
"120",9999
"121",101
"122",9999
"123",9999
"124",9999
"125",9999
"126",9999
"127",9999
"128",101
"129",101
"130",101
"131",101
"132",101
"133",101
"134",41
"135",101
"136",101
"137",101
"138",9999
"139",101
"140",101
"141",9999
"142",101
"143",101
"144",41
"145",9999
"146",9999
"147",9999
"148",101
"149",41
"150",9999
"151",41
"152",9999
"153",9999
"154",101
"155",9999
"156",9999
"157",41
"158",9999
"159",101
"160",9999
"161",9999
"162",101
"163",9999
"164",101
"165",9999
"166",101
"167",101
"168",41
"169",101
"170",101
"171",101
"172",41
"173",101
"174",9999
"175",101
"176",41
"177",41
"178",41
"179",101
"180",101
"181",41
"182",9999
"183",41
"184",101
"185",9999
"186",41
"187",9999
"188",101
"189",101
"190",9999
"191",41
"192",41
"193",101
"194",41
"195",101
"196",101
"197",101
"198",9999
"199",101
"200",41
"201",9999
"202",101
"203",9999
"204",9999
"205",9999
"206",9999
"207",9999
"208",41
"209",9999
"210",9999
"211",9999
"212",101
"213",9999
"214",9999
"215",41
"216",101
"217",101
"218",9999
"219",101
"220",101
"221",9999
"222",101
"223",101
"224",101
"225",41
"226",9999
"227",101
"228",101
"229",9999
"230",9999
"231",9999
"232",9999
"233",101
"234",41
"235",9999
"236",9999
"237",101
"238",9999
"239",41
"240",9999
"241",41
"242",9999
"243",101
"244",9999
"245",101
"246",9999
"247",101
"248",101
"249",41
"250",41
"251",101
"252",9999
"253",101
"254",101
"255",9999
"256",9999
"257",9999
"258",101
"259",101
"260",9999
"261",9999
"262",101
"263",41
"264",101
"265",41
"266",41
"267",9999
"268",9999
"269",101
"270",9999
"271",9999
"272",101
"273",9999
"274",9999
"275",41
"276",101
"277",101
"278",9999
"279",101
"280",9999
"281",41
"282",101
"283",9999
"284",9999
"285",101
"286",101
"287",9999
"288",101
"289",101
"290",41
"291",101
"292",9999
"293",101
"294",101
"295",101
"296",41
"297",101
"298",9999
"299",9999
"300",9999
"301",9999
"302",101
"303",9999
"304",101
"305",101
"306",41
"307",9999
"308",101
"309",41
"310",101
"311",101
"312",101
"313",101
"314",9999
"315",101
"316",101
"317",9999
"318",9999
"319",9999
"320",9999
"321",9999
"322",9999
"323",9999
"324",9999
"325",101
"326",41
"327",101
"328",101
"329",101
"330",101
"331",9999
"332",101
"333",101
"334",9999
"335",101
"336",9999
"337",9999
"338",41
"339",9999
"340",101
"341",101
"342",101
"343",101
"344",9999
"345",101
"346",9999
"347",101
"348",9999
"349",101
"350",101
"351",101
"352",9999
"353",9999
"354",101
"355",101
"356",9999
"357",9999
"358",101
"359",9999
"360",9999
"361",9999
"362",41
"363",9999
"364",101
"365",9999
"366",101
"367",101
"368",101
"369",41
"370",41
"371",101
"372",9999
"373",9999
"374",9999
"375",9999
"376",101
"377",101
"378",9999
"379",9999
"380",9999
"381",101
"382",101
"383",101
"384",101
"385",101
"386",101
"387",9999
"388",9999
"389",101
"390",9999
"391",101
"392",101
"393",101
"394",9999
"395",101
"396",9999
"397",9999
"398",9999
"399",9999
"400",9999
"401",9999
"402",9999
"403",9999
"404",9999
"405",9999
"406",9999
"407",9999
"408",9999
"409",41
"410",9999
"411",9999
"412",9999
"413",9999
"414",9999
"415",9999
"416",9999
"417",9999
"418",41
"419",101
"420",101
"421",9999
"422",9999
"423",9999
"424",41
"425",101
"426",9999
"427",101
"428",9999
